uid,lat,lon,aqi,station_name,recorded_at,etl_insert_ts,etl_update_ts
-363547,44.6321,-63.5798,45,AQSU-9B79,2023-08-19T04:33:25+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
-362692,10.706124,106.597855,130,AQSEA_VN_029,2023-08-22T05:41:06+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-362689,11.959798,108.45224,50,AQSEA_VN_025,2023-08-22T05:40:54+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-361954,32.716835,-114.72927,63,AYUNTAMIENTO DE MEXICALI - DELEGACION LOS ALGODONES,2023-08-19T04:34:48+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
-361672,55.44519301431,65.33691376448,57,улица Ленина,2023-08-22T05:42:23+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-361600,21.505875,106.34188,127,AQSEA_VN_022,2023-08-22T05:42:11+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-361594,12.30524,109.170494,90,AQSEA_VN_026,2023-08-22T05:42:36+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-361324,49.89735,-119.38734,257,AQSU-A7D8- Rutland,2023-08-19T04:34:33+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
-360769,48.529049,25.039789,83,"prospekt Viacheslava Chornovola, 45",2023-08-22T05:40:30+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-359575,44.772,39.872,27,улица Нескучный Сад,2023-08-19T04:34:01+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
-359473,40.61004112,-97.86878944,42,Grandview Street,2023-08-22T05:38:59+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-359398,48.798,44.756,39,улица Карбышева,2023-08-19T04:31:49+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
